path,filename,format,width,height,size_kb,has_alpha,category,referenced_in_code,ref_type,safe_to_optimize,action_target,format_target,dimensions_target,quality_target,reason,gain_est_kb,risk
public/assets/ui/paperboy/paperboy_boss_system_bg.png,paperboy_boss_system_bg.png,PNG,941,1672,2846.7,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2335.0,medium_code_update_needed
public/assets/ui/worldmap/world_map_minimap_16_9.png,world_map_minimap_16_9.png,PNG,1672,941,2827.3,no,worldmap,yes,direct,yes,convert_webp_lossy+resize,WebP,1080x608,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2318.0,medium_code_update_needed
public/assets/map/world_map.png,world_map.png,PNG,1448,1086,2807.0,no,worldmap,yes,direct,yes,convert_webp_lossy+resize,WebP,1080x810,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2302.0,medium_code_update_needed
public/assets/ui/outrun/outrun_boss_system_bg.png,outrun_boss_system_bg.png,PNG,941,1672,2604.8,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2136.0,medium_code_update_needed
public/assets/ui/fighter/fighter_boss_system_bg.png,fighter_boss_system_bg.png,PNG,941,1672,2535.1,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2079.0,medium_code_update_needed
public/assets/ui/fighter/fighter_system_bg.png,fighter_system_bg.png,PNG,941,1672,2517.4,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2064.0,medium_code_update_needed
public/assets/ui/shinobi/shinobi_boss_system_bg.png,shinobi_boss_system_bg.png,PNG,941,1672,2503.0,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2052.0,medium_code_update_needed
public/assets/ui/streets/streets_clear_bg.png,streets_clear_bg.png,PNG,941,1672,2478.4,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2032.0,medium_code_update_needed
public/assets/ui/streets/streets_system_bg.png,streets_system_bg.png,PNG,941,1672,2476.8,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",2031.0,medium_code_update_needed
public/assets/ui/castle/castle_clear_bg.png,castle_clear_bg.png,PNG,941,1672,2432.8,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1995.0,medium_code_update_needed
public/assets/ui/fighter/fighter_gameplay_bg.png,fighter_gameplay_bg.png,PNG,941,1672,2365.2,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1939.0,medium_code_update_needed
public/assets/ui/outrun/outrun_clear_bg.png,outrun_clear_bg.png,PNG,941,1672,2297.9,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1884.0,medium_code_update_needed
public/assets/ui/streets/streets_boss_system_bg.png,streets_boss_system_bg.png,PNG,941,1672,2252.7,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1848.0,medium_code_update_needed
public/assets/ui/sonic/sonic_boss_system_bg.png,sonic_boss_system_bg.png,PNG,941,1672,2243.7,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1840.0,medium_code_update_needed
public/assets/ui/fighter/fighter_clear_bg.png,fighter_clear_bg.png,PNG,941,1672,2241.1,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1838.0,medium_code_update_needed
public/assets/ui/castle/castle_boss_system_bg.png,castle_boss_system_bg.png,PNG,941,1672,2192.0,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1797.0,medium_code_update_needed
public/assets/ui/shinobi/shinobi_system_bg.png,shinobi_system_bg.png,PNG,941,1672,2174.4,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1783.0,medium_code_update_needed
public/assets/ui/kombat/kombat_boss_system_bg.png,kombat_boss_system_bg.png,PNG,941,1672,2167.4,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1777.0,medium_code_update_needed
public/assets/ui/shinobi/shinobi_clear_bg.png,shinobi_clear_bg.png,PNG,941,1672,2136.9,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1752.0,medium_code_update_needed
public/assets/ui/castle/castle_system_bg.png,castle_system_bg.png,PNG,941,1672,2111.8,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1732.0,medium_code_update_needed
public/assets/ui/kombat/kombat_clear_bg.png,kombat_clear_bg.png,PNG,941,1672,2084.1,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1709.0,medium_code_update_needed
public/assets/ui/paperboy/paperboy_system_bg.png,paperboy_system_bg.png,PNG,941,1672,2056.6,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1687.0,medium_code_update_needed
public/assets/ui/paperboy/paperboy_gameplay_bg.png,paperboy_gameplay_bg.png,PNG,941,1672,2033.4,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1667.0,medium_code_update_needed
public/assets/ui/outrun/outrun_system_bg.png,outrun_system_bg.png,PNG,941,1672,1990.7,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1633.0,medium_code_update_needed
public/assets/ui/sonic/sonic_system_bg.png,sonic_system_bg.png,PNG,941,1672,1971.7,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1617.0,medium_code_update_needed
public/assets/ui/sonic/sonic_clear_bg.png,sonic_clear_bg.png,PNG,941,1672,1963.0,no,ui_bg,yes,dynamic_template,yes,convert_webp_lossy+resize,WebP,608x1080,82,"PNG lourd sans alpha, WebP lossy reduit ~80%",1610.0,medium_code_update_needed
